Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Dnmbp,[0.10632352 2.80565611 5.31443555],[0.10632352 0.02249257 0.25394564],[1.89418636        nan        nan],0.19
Dnmt1,[ 1.19875433  2.40463435 12.18235233],[1.19875433 0.84726549 1.76994062],[5.06619741 2.6883594  8.70280962],4.05
Dnmt3a,[  0.6332898   83.84112323 198.46604096],[0.60162531 0.47069842 0.80193142],[2.43818325 1.80258652 3.35231025],1.49
Dnmt3b,[ 1.16978431  6.55793068 12.44263326],[1.16978431 0.73599153 1.88595123],[1.89734138 1.02880151 3.8451825 ],1.88
Dnmt3l,[ 0.35638062  1.15365632 12.59107363],[0.35638062 0.27687783 0.4588183 ],[10.91405942  7.76575199 15.21399591],2.97
Dnpep,[ 1.13034128 14.57890266 38.30181909],[1.13034128 0.79679037 1.53345537],[2.62720864 1.811868   4.50766618],2.76
Dnttip2,[ 1.10539364  2.5724184  18.29640281],[1.10539364 0.84717061 1.47501149],[ 7.1125299   4.51813655 10.59216209],5.5
Doc2g,[0.02097244 0.44836324 1.        ],[0.00104862        nan        nan],[2.23033451        nan        nan],0.04
Dock1,[0.32553988 3.04778805 5.4285502 ],[5.55111512e-17            nan            nan],[1.78114426        nan        nan],0.52
Dock4,[0.04550302 2.16806004 3.14332811],[2.08166817e-17            nan            nan],[1.44983444        nan        nan],0.06
Dock5,[0.18542562 0.29953658 3.7055145 ],[0.18542562 0.0820983  0.32035743],[12.37082446  6.2562119  32.13724192],1.42
Dock6,[ 0.60546991  7.85173314 25.69517678],[0.60546991 0.43973298 0.84726418],[3.17437195 2.1654104  5.10825973],1.84
Dock9,[0.42556426 2.29997709 5.16682063],[0.42556426 0.21878664 0.77346218],[2.24646613 1.01863492 5.34958245],0.81
Dok1,[0.14183856 0.98565197 3.34144014],[0.14183856 0.04920942 0.27773177],[ 3.39008114  1.5012997  11.0104588 ],0.42
Dok4,[0.02048886 0.82896104 2.30970183],[0.00102444        nan        nan],[2.78626102        nan        nan],0.06
Dpcd,[0.9119932  2.12390673 5.80508467],[0.9119932  0.45738959 1.79561785],[2.73321074 0.97161277 7.75227441],1.74
Dpf2,[0.73144741 0.61983842 3.77409028],[0.73144741 0.28508093 1.53415484],[ 6.08882925  1.93646581 23.907164  ],2.04
Dph2,[0.10441932 0.41031145 2.77285634],[0.00522097        nan        nan],[6.7579307       nan       nan],0.56
Dph3,[ 0.22418696  0.97731519 18.06536535],[0.22418696 0.17378084 0.28731764],[18.48468694 13.37323117 25.58972974],3.37
Dpp3,[ 1.9096401  10.89118045 42.2988345 ],[1.9096401  1.38851922 2.70788263],[3.8837695  2.40121204 6.4984468 ],6.31
Dpp4,[0.07888741 0.87425164 7.90538562],[0.07888741 0.04216417 0.1318093 ],[ 9.04246019  4.78009541 18.60686042],0.65
Dpp7,[  1.23714071 221.92782304 535.47386591],[1.23714071 0.99302382 1.55211439],[2.4128289 1.8826786 3.0959709],2.97
Dpp8,[0.20874035 2.52279271 2.5879598 ],[2.77555756e-17            nan            nan],[1.02583133        nan        nan],0.2
Dpp9,[0.1674119  1.28840145 6.47252881],[0.1674119  0.08379368 0.29701331],[ 5.02368948  2.43765179 11.44405356],0.74
Dpy19l1,[9.09101228e-01 6.48660783e+02 1.30599543e+03],[1.04546641 0.76791021 1.34201136],[1.2281569       nan       nan],1.83
Dpy19l4,[0.00972855 0.07296742 1.55563803],[6.9388939e-18           nan           nan],[21.31962412         nan         nan],0.18
Dpy30,[ 1.61006076  4.28533915 46.1956132 ],[1.61006076 1.26296481 2.1355017 ],[10.77992001  6.57249824 15.75259521],12.62
Dpysl3,[0.01681624 0.29119594 3.19724728],[3.46944695e-18            nan            nan],[10.97971116         nan         nan],0.17
Dpysl5,[  0.50030677 149.48495522 217.02827079],[0.50030677 0.42082137 0.72506723],[1.40828502 0.95595549 2.09646899],0.72
Dqx1,[1.10838116e-02 4.14820837e-01 8.35596709e+01],[0.01108381 0.00571796 0.0198758 ],[201.43556795  80.60775539 501.01366198],2.17
Dr1,[0.22297005 0.50526173 1.63365598],[0.0111485       nan       nan],[3.2332866       nan       nan],0.5
Dram2,[0.15959436 1.03456742 4.91834116],[0.15959436 0.0726451  0.28395824],[ 4.7540074   2.3315941  11.82050248],0.66
