Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Tbck,[0.06515339 0.32984383 1.44764086],[0.00325767        nan        nan],[4.38886748        nan        nan],0.24
Tbk1,[0.39824028 2.84323409 8.99475921],[0.39824028 0.2552373  0.64350304],[3.16356618 1.68247232 5.67328978],1.11
Tbkbp1,[0.02097298 0.44838191 1.        ],[6.9388939e-18           nan           nan],[2.23024164        nan        nan],0.04
Tbl3,[ 1.73803797 15.53117212 33.61777275],[1.82493987 1.20603345 2.50097037],[1.96972727 1.38148848 3.87096879],3.38
Tbp,[ 0.74383542  6.42773245 11.67962829],[0.74383542 0.4522973  1.1886075 ],[1.81706821 1.00494348 3.68960444],1.21
Tbpl1,[4.94392925e-01 2.35756157e+02 6.08490447e+02],[0.49439293 0.39353229 0.68112117],[2.58101614 1.76491989 3.89793825],1.27
Tbrg1,[  1.64092318  97.40034951 300.47206525],[1.64092318 1.06368939 2.02086704],[3.08491773 2.48153004 3.84733451],4.98
Tbrg4,[  1.38537935 221.76283807 347.27456609],[1.45464832 1.1504462  1.97264131],[1.42503522 1.06936148 1.90074063],2.16
Tbx3,[0.7711376  1.53416442 4.83512828],[0.7711376  0.41860201 1.47068109],[3.1516363  1.16027911 7.69969164],1.62
Tcea3,[ 0.82689047  1.55579181 13.53619735],[0.82689047 0.63065458 1.09264667],[ 8.70051976  5.73396721 12.93870929],4.7
Tceb1,[  2.44587035 304.3208575  420.0682136 ],[2.44587035 1.92649399 3.25887989],[1.33893605 1.0247942  1.77913836],3.35
Tceb3,[0.70958085 1.46521652 6.91318045],[0.70958085 0.49030517 1.07818705],[4.71819719 2.51411312 7.97422736],2.26
Tcerg1,[ 0.33624478  1.12273916 20.21345944],[0.33624478 0.26194363 0.42901417],[18.00370046 13.1208535  24.77001931],4.66
Tcf12,[ 0.35633332 34.43925414 54.78742305],[0.35633332 0.24647316 0.53564406],[1.59084232 1.01922868 2.49610948],0.56
Tcf19,[0.25422773 1.37865433 6.86148076],[0.25422773 0.17284263 0.37572637],[4.97694063 2.98230218 8.07898962],1.07
Tcf25,[0.86734737 1.02243028 7.12179862],[0.86734737 0.53992413 1.40092388],[ 6.96555919  3.27340408 14.41722473],3.27
Tcf3,[0.15650522 0.49457161 7.89189103],[0.15650522 0.10053703 0.23496081],[15.95702384  9.54556957 27.3040263 ],1.9
Tcf4,[  0.90816232  80.60238759 219.79795134],[0.90816232 0.73980797 1.17578432],[2.64513272 2.06303957 3.48013739],2.45
Tcf7,[  0.49147009 127.78931983 140.3917321 ],[0.51604359 0.34419251 0.77661922],[1.06566011 0.66326388 1.65548095],0.54
Tcfl5,[0.20973238 5.98954248 8.77468043],[0.20973238 0.09011392 0.3813535 ],[1.46500012 0.73712216 3.93655916],0.3
Tchp,[0.10443301 0.27969783 2.20005252],[0.00522165        nan        nan],[7.86581918        nan        nan],0.6
Tcirg1,[0.05570781 0.47348071 1.        ],[0.00278539        nan        nan],[2.11201848        nan        nan],0.11
Tcn2,[ 0.43189191  3.77423499 11.49338565],[0.43189191 0.28302364 0.65262519],[3.04522259 1.800682   5.38960923],1.18
Tcof1,[ 0.44591654  0.50324027 30.52646393],[0.44591654 0.36313531 0.54478412],[60.65982003 46.34312154 79.45918726],14.34
Tcp11,[0.04584799 0.14313801 1.        ],[0.0022924       nan       nan],[6.98626446        nan        nan],0.24
Tctex1d2,[0.11305091 0.40000044 3.85399532],[0.11305091 0.04624307 0.20020869],[ 9.63497779  4.87617807 26.02148927],0.85
Tctn1,[ 0.1500049  73.20892592 91.12622813],[0.1500049  0.09525108 0.27411839],[1.24474204 0.62364523 2.51810126],0.19
Tctn3,[0.0513381  0.67459986 3.01190131],[0.00256691        nan        nan],[4.4647227       nan       nan],0.21
Tdp1,[0.36564924 1.09264961 6.28458627],[0.36564924 0.24500437 0.54582108],[5.75169404 3.3163974  9.73434916],1.58
Tdp2,[0.40911665 0.22439617 5.2133247 ],[0.40911665 0.22335096 0.68765657],[23.23268155 10.99399102 53.12628997],3.37
Tdrd3,[0.59306377 1.66990582 2.77565187],[1.11022302e-16            nan            nan],[1.66216072        nan        nan],0.73
Tdrd7,[0.00388065 0.10774432 1.        ],[5.6378513e-18           nan           nan],[35.17586902         nan         nan],0.03
Tdrkh,[0.05695723 0.98905218 1.        ],[0.00284786        nan        nan],[1.011069      nan      nan],0.05
Tead1,[0.84088678 5.36141116 8.00663033],[0.84088678 0.4185098  1.50986745],[1.49338114 0.70745971 4.11531674],1.09
Tead4,[  0.62339051  98.47341505 109.07424194],[0.62339051 0.44438727 0.92013277],[1.10765166 0.73217531 1.63704858],0.69
Tec,[0.01094801 0.11329497 2.22198612],[0.0005474       nan       nan],[19.61239861         nan         nan],0.2
Tecr,[ 2.41341308  7.14174815 27.20651708],[2.41341308 1.68357609 3.77526834],[3.80950385 1.875679   6.99446736],6.87
Tek,[5.14854310e-02 3.28816897e+01 6.10023204e+01],[0.05148543 0.02901401 0.10549   ],[1.85520638 0.78466346 5.04746426],0.1
Tekt2,[0.02072921 0.44820832 1.        ],[0.00103646        nan        nan],[2.2311054       nan       nan],0.04
Telo2,[ 0.20874863 10.65744551 19.45652855],[0.20874863 0.11240805 0.34276863],[1.82562778 1.03825813 3.86329876],0.37
Tep1,[0.12473292 0.19890372 1.50713891],[0.00623665        nan        nan],[7.57722829        nan        nan],0.58
Terf1,[0.66937988 0.96524237 6.40689788],[0.66937988 0.47250668 0.96615377],[ 6.6376053   3.89141761 10.86213347],2.62
Terf2,[0.50428137 3.04007401 7.41912144],[0.50428137 0.31679815 0.83768243],[2.44044106 1.2421652  4.55230212],1.06
Tes,[ 0.9048038   6.48909542 29.395543  ],[0.9048038  0.68708024 1.23741988],[4.52999087 2.92395882 6.79245835],3.6
Tesk1,[0.04567409 0.07982988 1.        ],[6.9388939e-18           nan           nan],[12.52663746         nan         nan],0.36
Tet1,[  1.8787177   46.29321034 281.37880293],[1.8787177  1.40650769 2.27493265],[6.07818729 4.87841226 7.41303652],10.97
Tet2,[ 1.15226144  4.97116834 18.38074925],[1.15226144 0.83819079 1.70225445],[3.6974707  2.1161431  5.98279778],3.46
Tex10,[ 0.47729968  0.60081476 11.58371285],[0.47729968 0.35444775 0.6342464 ],[19.2800071  13.0886609  28.85841165],5.13
Tex261,[ 0.8839588  11.46990321 28.43265548],[0.8839588  0.60820909 1.24918381],[2.47889236 1.67847861 4.26072051],2.03
Tex264,[1.19770603 1.68268423 9.91287179],[1.19770603 0.84861884 1.76255967],[5.89110638 3.1853101  9.9782852 ],4.12
Tex9,[0.21212119 0.66834769 5.65574954],[0.21212119 0.1305547  0.32817999],[ 8.46228634  4.81751274 15.35961454],1.36
Tfam,[0.76446461 2.95977467 8.85690854],[0.76446461 0.50727092 1.22348876],[2.99242663 1.48725019 5.41104076],1.82
Tfb2m,[0.25160169 3.31900395 4.35599683],[0.01258008        nan        nan],[1.31244099        nan        nan],0.31
Tfdp1,[0.47866394 1.57146569 4.86080898],[0.47866394 0.25002696 0.86742991],[3.09316901 1.34004588 7.39952784],1.13
Tfdp2,[0.28503821 1.10842387 7.25881227],[0.28503821 0.19658538 0.41034708],[ 6.54876934  4.05187579 10.51397031],1.48
Tfpi,[0.58919176 0.60318629 7.28280375],[0.58919176 0.37714304 0.89210941],[12.07388805  6.5109306  23.10507422],3.6
Tfpt,[0.21413678 0.42340659 2.3287435 ],[0.01070684        nan        nan],[5.50001708        nan        nan],0.78
Tfrc,[ 2.99954987 13.61375072 25.98638341],[2.99954987 1.82529213 4.81025053],[1.9088335  0.98118543 4.47402086],4.69
Tgds,[ 0.45993748  4.13236897 10.42154319],[0.45993748 0.30307917 0.71380954],[2.52192949 1.43378664 4.39662482],1.04
Tgfa,[0.02049104 0.44803562 1.        ],[3.46944695e-18            nan            nan],[2.23196542        nan        nan],0.04
Tgfb2,[0.0026087  0.07536112 1.        ],[0.00013044        nan        nan],[34.76593878         nan         nan],0.03
Tgfbi,[0.00467979 0.02310851 1.40487183],[1.73472348e-18            nan            nan],[60.79456987         nan         nan],0.24
Tgfbr1,[0.02703564 0.55145367 1.10377085],[1.38777878e-17            nan            nan],[2.24175379        nan        nan],0.05
Tgfbrap1,[  0.22241131  91.62019714 128.69913642],[0.24465244 0.14166961 0.38741149],[1.23613836 0.72790177 2.1398315 ],0.31
Tgif1,[  1.6754648  178.42733303 221.9626569 ],[1.6754648  1.27285277 2.27516674],[1.2439947  0.90538245 1.67659735],2.06
Tgm1,[0.4630381  0.6091036  7.42503675],[0.4630381  0.29265538 0.70365819],[12.19010494  6.63297621 23.22392003],3.21
Tgs1,[0.43791551 3.41467357 8.69553775],[0.43791551 0.27141014 0.72642556],[2.54652094 1.30865561 4.78159367],0.99
Thada,[ 0.55549534  7.32905753 13.64688134],[0.5832701  0.3479233  0.90141093],[1.63858116 1.04737049 3.50120157],0.96
Thap1,[0.13529425 1.73563953 1.87867614],[0.00676471        nan        nan],[1.08241147        nan        nan],0.14
Thap11,[0.19424499 0.42918083 5.22475651],[0.19424499 0.09507921 0.34739066],[12.17378829  5.69804939 28.78531609],1.63
Thap3,[0.34066677 0.97815225 5.30460805],[0.34066677 0.21308479 0.53211618],[5.42309039 2.96459192 9.9476007 ],1.37
Thap4,[0.82833468 2.10067214 5.00431036],[0.82833468 0.46865167 1.6100569 ],[2.38224245 0.87772283 5.45604808],1.42
Thap6,[0.13658517 1.95488179 3.91664178],[0.13658517 0.03757715 0.28880226],[2.00351847        nan        nan],0.26
Them4,[0.04209528 0.44074682 1.62235636],[0.00210476        nan        nan],[3.68092586        nan        nan],0.14
Thg1l,[0.02137933 0.13584368 1.53932128],[3.46944695e-18            nan            nan],[11.33156312         nan         nan],0.21
Thnsl1,[0.00212372 0.0233816  1.40555047],[0.00010619        nan        nan],[ 60.11352047   2.1102969  200.66090116],0.12
Thoc1,[0.40698285 0.4322638  3.27683942],[0.40698285 0.15265554 0.77740307],[ 7.58064725  3.10031587 26.97697743],1.59
Thoc3,[ 0.56345444  0.66398974 16.12586208],[0.56345444 0.43213635 0.72536791],[24.28631198 16.94250074 35.38006078],7.4
Thoc7,[ 0.48651801  0.81271854 10.73582494],[0.48651801 0.36569072 0.6446749 ],[13.20976997  8.84867133 19.65811241],4.02
Thop1,[ 0.98867225  1.63270295 14.42484471],[0.98867225 0.75942271 1.30826853],[ 8.83494741  5.79537586 12.93646764],5.44
Thra,[0.15163676 0.96158077 2.1705115 ],[5.55111512e-17            nan            nan],[2.25723263        nan        nan],0.3
Thrap3,[ 0.93756116 24.12728547 68.54738886],[0.79692698 0.50649247 1.2091284 ],[3.86385982 2.11578524 7.41882646],2.56
Thsd4,[0.04721665 0.52251177 1.        ],[0.00236083        nan        nan],[2.14349238        nan        nan],0.08
Thumpd1,[0.79523976 0.54596593 9.92261733],[0.79523976 0.58419465 1.08632339],[18.17442578 11.40228686 28.56906881],5.88
Thumpd2,[0.44996616 2.297375   5.1995401 ],[0.44996616 0.23971406 0.81321403],[2.26325267 1.04678812 5.18776355],0.85
Thumpd3,[  2.12365485 481.66845881 698.20301905],[2.12365485 1.66781217 2.7760322 ],[1.44955105 1.09369306 1.87947202],3.06
Tia1,[0.24239266 0.62529577 4.18868994],[0.24239266 0.13021829 0.40235282],[ 6.69873389  3.48993113 14.30895987],1.17
Tiam1,[0.20862424 1.94334359 7.92668105],[0.20862424 0.11577305 0.33282228],[4.07888811 2.28743384 8.3619637 ],0.77
Ticam2,[ 0.15989039 64.59565882 64.68710188],[0.15989039 0.08855698 0.30838184],[1.00141562 0.48003279 2.07043323],0.16
Tigd2,[0.28759291 2.58797861 8.77987608],[0.28759291 0.18664689 0.46148929],[3.3925613  1.83633141 5.87971336],0.88
Tigd5,[2.57376141e-03 7.98608088e-02 2.73288225e+00],[0.00012869        nan        nan],[34.22056811         nan         nan],0.09
Timeless,[0.80911081 0.93879715 6.74746756],[0.80911081 0.55899448 1.19406405],[ 7.18735408  4.00055322 12.3879571 ],3.12
Timm13,[ 1.28208726  3.44619919 53.01491256],[1.28208726 1.04033089 1.60853964],[15.38358917 10.66274691 20.96085142],14.38
Timm17a,[ 2.11792803 10.87020815 66.43580587],[2.01203163 1.56460866 2.70199651],[ 6.66178857  4.11391721 10.05913246],10.83
Timm22,[0.25691403 0.2781055  5.64709331],[0.25691403 0.17275863 0.36642043],[20.30557935 12.86629564 33.41878391],2.71
Timm44,[ 1.14208149  2.67506034 22.67969588],[1.14208149 0.87349125 1.5123736 ],[ 8.47819973  5.45071474 12.71758086],6.79
Timm50,[ 0.89855461  1.04411029 10.84547373],[0.89855461 0.61604305 1.3018012 ],[10.38728751  5.78071308 18.67368662],5.02
Timm8b,[ 0.05518101  0.15331534 13.4637277 ],[0.05518101 0.02921523 0.09240831],[ 87.81722377  47.91422955 179.05541866],3.56
Timm9,[0.37100368 0.96930709 4.87431689],[0.37100368 0.20223189 0.60816508],[ 5.02866112  2.55607045 11.12146906],1.35
Tinagl1,[1.26497687e-01 4.83259046e+01 1.55145262e+02],[0.12649769 0.08269992 0.18374226],[3.2103954  1.99968466 5.39115533],0.41
Tinf2,[  0.84519681 242.2231964  351.38462016],[0.84519681 0.64198028 1.18392252],[1.40714468 1.004037   1.97304387],1.22
Tiparp,[  0.76585422  97.60527606 121.14654921],[0.76585422 0.55348608 1.10022081],[1.24118853 0.84511159 1.79992455],0.94
Tipin,[ 1.33564269  2.34565204 15.12524479],[1.33564269 0.97879387 1.88417665],[ 6.44820482  3.67548692 10.52797406],5.49
Tirap,[ 0.34067282 14.08238504 32.23290863],[0.35770646 0.23386472 0.48976134],[2.28888136 1.48635387 3.72517128],0.76
Tjp1,[0.30900922 0.69321771 4.55824984],[0.30900922 0.18235769 0.48868464],[ 6.5754954   3.60142933 12.84154628],1.41
Tjp2,[  1.03963415 122.02258851 280.79192935],[1.03963415 0.82870307 1.31519329],[2.30114713 1.77657475 2.98741111],2.37
Tjp3,[0.07800466 1.37671637 3.52332332],[0.00390023        nan        nan],[2.55922236        nan        nan],0.19
Tk2,[0.29279124 1.68216416 5.59168683],[0.29279124 0.17327549 0.48323465],[3.32410294 1.72280725 6.41508034],0.83
Tkt,[ 1.70093965  1.60932545 18.67775131],[1.70093965 1.24929135 2.36783137],[11.60595041  6.72625118 18.98682428],9.6
Tle1,[0.28481459 3.2598893  6.74955878],[0.28481459 0.16036747 0.49749442],[2.07048711 1.04785436 4.20091501],0.54
Tle4,[0.59520786 0.90672932 5.56800918],[0.59520786 0.37168487 0.93768199],[ 6.14076223  3.17642134 11.97173702],2.21
Tlk1,[  0.9936582  170.00640233 322.34186216],[0.9936582  0.7776779  1.28547735],[1.89605719 1.4291774  2.50775307],1.87
Tlk2,[0.22961437 0.99101761 5.84261534],[0.22961437 0.1321086  0.38291128],[ 5.89557166  3.05355056 11.5997312 ],1.1
Tln1,[0.7151534  1.68776646 8.58011873],[0.7151534  0.49658655 1.04878746],[5.08371207 2.87091774 8.61630452],2.55
Tln2,[  0.79795687  85.88661469 113.47792053],[0.83785471 0.58941693 1.08906683],[1.32125269 0.9218241  1.87377822],1.04
Tm2d2,[0.48534624 1.73932526 6.07114296],[0.48534624 0.31232919 0.76869786],[3.49051617 1.81844232 6.32107707],1.32
Tm2d3,[ 0.32288914  1.12260859 11.01008479],[0.32288914 0.22793859 0.4515494 ],[ 9.80758998  6.19931274 15.59433016],2.46
Tm7sf3,[0.64200394 1.45783122 5.5463044 ],[0.64200394 0.31511232 1.22326299],[ 3.80449007  1.44401005 10.52653249],1.7
Tm9sf2,[ 1.84266553  9.09261876 23.60807797],[1.84266553 1.23120092 2.83681603],[2.59640029 1.41257593 4.93661155],3.98
Tm9sf4,[  1.35304727 571.69369542 639.87130089],[1.35304727 0.97623321 1.85492315],[1.15283314 0.8045662  1.60828687],1.51
Tmbim6,[ 2.62030073  2.92645191 11.97205274],[2.62030073 1.56576952 5.26106911],[ 4.09097881  1.16757207 10.07460113],5.66
Tmc4,[  0.32071081  92.37142262 130.19700913],[0.32071081 0.21584653 0.47822916],[1.4517793  0.90273206 2.31314329],0.45
Tmcc2,[0.11406593 1.68884677 1.87024955],[0.0057033       nan       nan],[1.10741222        nan        nan],0.12
Tmco3,[0.23657724 0.81979648 1.        ],[0.23657724 0.05197456 1.27545521],[1.21981495        nan        nan],0.22
Tmco4,[ 0.19543927  9.62876224 12.57062343],[0.19543927 0.0641663  0.35272941],[1.30552849 0.66375748 4.6637677 ],0.25
Tmed1,[ 0.8954493   5.87282541 21.87652138],[0.8954493  0.66171205 1.26506888],[3.72504201 2.23916521 5.80584091],2.89
Tmed10,[ 1.1651567   2.11762377 14.22476617],[1.1651567  0.86413359 1.60790481],[ 6.71732456  4.04068249 10.63762639],5.05
Tmed3,[0.12812741 1.1178831  2.0714462 ],[2.77555756e-17            nan            nan],[1.85300789        nan        nan],0.21
Tmed5,[0.79770332 1.03820715 1.74619249],[0.03988517        nan        nan],[0.16819307        nan        nan],0.76
Tmed7,[0.41568029 1.58838187 3.99424184],[0.41568029 0.20048668 0.80757094],[2.51466094 1.0150797  6.45008008],0.83
Tmed8,[0.06305392 0.48205129 3.54162037],[0.06305392 0.01344984 0.12643345],[7.34697833        nan        nan],0.41
Tmed9,[ 1.17066062  1.3520485  14.97967812],[1.17066062 0.86827997 1.58142154],[11.0792461   6.92383342 17.67567326],6.95
Tmeff1,[1.03057318e+00 8.96254360e+02 1.37466930e+03],[1.03057318        nan        nan],[1.30372465        nan        nan],1.58
Tmem104,[0.08269055 0.75730281 1.        ],[0.00413453        nan        nan],[1.32047576        nan        nan],0.1
Tmem106c,[0.18037918 0.49775831 2.15845324],[0.00901896        nan        nan],[4.33634797        nan        nan],0.57
Tmem107,[  0.76994647 312.58200726 313.42975706],[0.80844379 0.56682573 1.1818555 ],[0.94254936 0.62957522 1.41063348],0.77
Tmem108,[0.04923122 0.29244186 2.98221354],[2.08166817e-17            nan            nan],[10.19762885         nan         nan],0.43
Tmem109,[0.17747645 1.97266556 4.80107133],[0.17747645 0.07998652 0.33707956],[2.43379893 1.10529902 6.11262207],0.4
Tmem11,[  1.48758757  99.94424964 253.19586932],[1.48758757 1.57705052 1.89356773],[2.53337106 1.99517232 3.21844344],3.71
Tmem110,[0.51013836 2.83051412 4.48613012],[0.51013836 0.21801533 1.01144423],[1.58491706 0.66067948 4.85565609],0.69
Tmem116,[ 0.03909064  5.43007968 10.43662423],[0.03909064 0.00755767 0.09547196],[1.92200204        nan        nan],0.07
Tmem120a,[0.39901996 0.66926122 4.90727083],[0.39901996 0.25952977 0.59965491],[ 7.33236986  4.21521464 12.94758617],1.83
Tmem120b,[0.12105451 0.39890386 2.07895205],[8.32667268e-17            nan            nan],[5.21166189        nan        nan],0.48
Tmem123,[0.37361491 1.36866349 1.75564726],[0.01868075        nan        nan],[1.28274574        nan        nan],0.38
Tmem126a,[ 0.81827332 20.73206473 71.44563928],[0.81827332 0.60461793 1.06221885],[3.44614201 2.49147548 5.3278531 ],2.71
Tmem126b,[0.69845388 1.96415041 4.47068001],[0.69845388 0.35554286 1.38057831],[2.27613934 0.83936255 5.92987533],1.17
Tmem130,[0.00701333 0.07540835 1.75064002],[0.00035067        nan        nan],[23.21546514         nan         nan],0.15
Tmem132a,[0.09667151 0.24396307 1.        ],[0.00483358        nan        nan],[4.09898111        nan        nan],0.28
Tmem134,[0.40251253 1.2282786  6.51763625],[0.40251253 0.25837641 0.63017419],[5.30631753 2.84876852 9.54982267],1.61
Tmem141,[0.02031642 0.41077464 4.73988096],[6.9388939e-18           nan           nan],[11.53888409         nan         nan],0.22
Tmem143,[0.37562518 1.57703607 3.18036899],[0.37562518 0.13950981 0.81294302],[2.01667485 0.74000539 6.91454582],0.61
Tmem147,[0.32771528 0.36847813 7.67419595],[0.32771528 0.23136771 0.45657162],[20.82673369 13.25850338 32.95816683],3.61
Tmem14c,[0.54947227 0.44275914 7.76202535],[0.54947227 0.37567259 0.790564  ],[17.53103338 10.28664683 30.20455891],4.3
Tmem161a,[ 1.07962246  8.99556069 10.84025359],[1.07962246 0.59944211 1.82607465],[1.20506703 0.62777613 2.88807021],1.16
Tmem167,[ 1.15112789 15.55591419 43.0598299 ],[1.09357149 0.78572823 1.53539708],[3.01719423 1.91112875 4.98342795],2.97
Tmem173,[ 0.35990662 31.56159489 32.44506934],[0.35990662 0.16027101 0.59721016],[1.02799207 0.59763681 2.81201473],0.37
Tmem175,[ 0.25429921 21.77419903 28.23247345],[0.25429921 0.16187316 0.4221116 ],[1.29660216 0.72254099 3.16958168],0.33
Tmem177,[0.19525769 0.85824269 4.88481012],[0.19525769 0.11452162 0.30836429],[ 5.69164198  3.20225372 10.79606563],0.91
Tmem178,[0.01958011 0.82839044 2.30988949],[0.00097901        nan        nan],[2.78840674        nan        nan],0.05
Tmem18,[0.34350403 1.30370085 3.99036611],[0.34350403 0.16140193 0.64174314],[3.06079888 1.33017632 7.91882421],0.83
Tmem180,[ 0.48694076 19.53022332 36.13945255],[0.48694076 0.30486617 0.69049677],[1.85043724 1.22331243 3.48270614],0.88
Tmem183a,[  1.69083858  73.58952689 134.07333354],[1.77538051 1.19818597 2.23872452],[1.82190781 1.32656533 2.37321658],3.01
Tmem184c,[ 0.3728367  50.12238719 82.82092873],[0.3728367  0.2660622  0.53440256],[1.65237399 1.09758196 2.49575816],0.61
Tmem19,[0.6221235  2.15063223 4.31153373],[0.6221235  0.274567   1.26362276],[2.00477501 0.76809966 6.18438371],0.97
Tmem191c,[1.60262406e-01 1.37183440e+02 2.55387426e+02],[0.16827553 0.10773839 0.25106105],[1.74995014 1.01899189 3.12894922],0.3
Tmem192,[0.52286874 0.72554437 2.46527491],[1.11022302e-16            nan            nan],[3.3978279       nan       nan],1.03
Tmem199,[0.59213829 0.51657347 6.75266575],[0.59213829 0.41590776 0.83642609],[13.07203363  7.98499215 21.52614936],3.61
Tmem203,[0.04744852 0.28094912 2.01137367],[0.00237243        nan        nan],[7.15920972        nan        nan],0.29
Tmem205,[0.09957931 0.16530705 2.31640398],[0.00497897        nan        nan],[14.01273583         nan         nan],0.87
Tmem208,[9.22930897e-01 5.23710841e+02 1.09688259e+03],[0.9229309  0.72914169 1.17428344],[2.15727646 1.60699081 2.8959366 ],1.93
Tmem209,[  1.3260852  392.18890096 698.69012439],[1.3260852  1.0381826  1.74121865],[1.78151427 1.32769081 2.33582819],2.35
Tmem222,[  1.61054079  94.75578714 108.82854622],[1.61054079 0.97671957 2.28539846],[1.14851609 0.78606063 1.55909642],1.82
Tmem223,[  1.95817475 488.33305155 886.58238338],[1.86026601 1.50311769 2.44728133],[1.86999396 1.44050359 2.42102658],3.54
Tmem229b,[0.14727304 4.30187332 4.41536448],[0.00736365        nan        nan],[1.0263818       nan       nan],0.15
Tmem30a,[0.17784282 0.20179032 1.49752704],[0.00889214        nan        nan],[7.42120363        nan        nan],0.7
Tmem30b,[0.01802454 0.59275213 2.8904777 ],[0.00090123        nan        nan],[4.87636831        nan        nan],0.09
Tmem33,[ 0.92063377  4.1028905  10.30826839],[0.92063377 0.39939624 1.53110677],[2.51244053 1.25785184 8.96593938],1.89
Tmem40,[0.34664334 1.16163606 5.8360025 ],[0.34664334 0.22339883 0.52663118],[5.02395089 2.85775665 8.89061588],1.34
Tmem41a,[0.40100818 4.18137266 6.02161532],[0.40100818 0.16075068 0.73588411],[1.44010492 0.7103073  4.57431909],0.53
Tmem43,[ 0.37568903  4.36616724 10.47854587],[0.37568903 0.23710196 0.58598523],[2.39994148 1.36048685 4.35950522],0.83
Tmem44,[0.00582638 0.4509271  5.20347533],[0.00029132        nan        nan],[11.53950464         nan         nan],0.07
Tmem5,[ 0.55628001 30.80892741 37.8296566 ],[0.55628001 0.31186237 0.83999392],[1.2278797  0.77422428 2.66143434],0.67
Tmem51,[ 0.64032855 38.90782191 50.62407178],[0.64032855 0.3683274  0.93021652],[1.30112839 0.85823255 1.89566701],0.82
Tmem55b,[ 1.53868381  4.57815113 19.45347585],[1.53868381 1.11450927 2.28445564],[4.24919915 2.22084734 7.04628996],4.89
Tmem57,[  0.45973146 155.65649716 286.894849  ],[0.45973146 0.33989405 0.64082915],[1.843128   1.26582594 2.71478049],0.84
Tmem59,[ 1.02772863  1.49824153 13.1391654 ],[1.02772863 0.75883301 1.41489232],[ 8.76972449  5.3408274  13.86614705],5.35
Tmem60,[0.1458399  0.69874213 3.55344145],[0.1458399  0.05410697 0.27280689],[ 5.08548333  2.37559242 15.50559034],0.61
Tmem63b,[ 0.40684832 52.0905521  58.41168756],[0.42719074 0.26472811 0.68646973],[1.12134898 0.64398449 1.87331676],0.45
Tmem64,[0.13875847 0.5045202  1.3320922 ],[0.00693792        nan        nan],[2.64031488        nan        nan],0.29
Tmem66,[0.6647581  6.26615563 7.73691066],[0.6647581  0.3125697  1.17590266],[1.23471409 0.63362209 3.50046847],0.74
Tmem67,[0.07919704 0.78310198 2.96317245],[0.00395985        nan        nan],[3.78389091        nan        nan],0.27
Tmem68,[0.12083853 0.24081769 1.98475887],[1.38777878e-17            nan            nan],[8.24174872        nan        nan],0.66
Tmem69,[0.27846512 0.74815334 2.02224032],[5.55111512e-17            nan            nan],[2.70297574        nan        nan],0.55
Tmem8,[  1.00359741 440.58095728 565.2308983 ],[1.00359741 0.75186182 1.39211902],[1.28292176 0.89589877 1.76495608],1.28
Tmem82,[0.00743843 0.13084514 2.51371479],[1.73472348e-18            nan            nan],[19.21137247         nan         nan],0.14
Tmem87b,[0.030873   0.08938196 1.38034521],[0.00154365        nan        nan],[15.44321928         nan         nan],0.35
Tmem9,[0.63048862 3.41476075 8.39244702],[0.63048862 0.37672143 1.03760924],[2.45769693 1.27071238 5.0975762 ],1.31
Tmem97,[ 0.6909543   4.20044248 12.94515488],[0.6909543  0.46743736 1.05006523],[3.08185506 1.76912218 5.40079933],1.83
Tmem9b,[0.17780529 2.23650741 4.12476314],[1.11022302e-16            nan            nan],[1.84428772        nan        nan],0.3
Tmod2,[0.16384271 0.69723882 1.        ],[1.11022302e-16            nan            nan],[1.43422881        nan        nan],0.19
Tmod3,[2.50157358 6.09025191 6.47916922],[2.50157358 0.84111766 6.39968905],[1.06385898        nan        nan],1.89
Tmpo,[  1.1220492  201.16238843 458.92664956],[1.1220492  0.89000985 1.43121582],[2.28137403 1.73935758 2.95655964],2.55
Tmsb10,[ 0.7632094   2.74774995 20.37198444],[0.7632094  0.59311586 0.99778992],[ 7.41406053  4.97615328 10.59380364],4.43
Tmtc4,[0.38398141 1.72633051 3.44857474],[0.38398141 0.16190731 0.80842457],[1.99763296 0.76564793 5.91432373],0.63
Tmub1,[0.00578931 0.03174077 1.52972607],[7.80625564e-18            nan            nan],[48.19436514         nan         nan],0.24
Tmx3,[0.26027744 1.50673218 8.06986313],[0.26027744 0.16361997 0.41309185],[5.35587098 2.90270737 9.62580069],1.19
Tnfaip1,[ 1.29549976 38.07877733 42.76673177],[1.36027475 0.98492202 1.89260434],[1.05572528 0.73580577 1.81366146],1.41
Tnfrsf12a,[0.00650229 0.05965368 1.6485263 ],[0.00032511        nan        nan],[22.66065514         nan         nan],0.16
Tnfrsf19,[3.49708819e-01 2.01672996e+02 3.67037340e+02],[0.36719426 0.26170489 0.5167895 ],[1.71076498 1.13456852 2.54612495],0.64
Tnfrsf1a,[0.09685052 0.39983751 1.        ],[2.77555756e-17            nan            nan],[2.50101599        nan        nan],0.19
Tnfrsf1b,[0.62802867 7.44215524 9.08106948],[0.62802867 0.31561322 1.07356802],[1.22022038 0.64563022 3.12078275],0.71
Tnip1,[0.95398096 2.16632211 5.06081447],[0.95398096 0.3003008  2.12505865],[2.33613203        nan        nan],1.55
