Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Morf4l2,[ 0.41380224  4.11189512 93.99352165],[0.41380224 0.26411281 0.6492458 ],[22.85892975 12.49802964 42.6121666 ],8.59
Mospd1,[  0.86060531 141.44075132 362.21898522],[0.86060531 0.69443705 1.07319925],[2.56092379 2.00089968 3.29131055],2.19
Mospd2,[ 0.32895571 11.69150879 17.57552096],[0.34540349 0.17518589 0.51956686],[1.50327227 0.86876646 3.32515116],0.48
Mpp1,[1.24982410e+00 2.80334456e+02 2.16043217e+03],[1.2498241  1.07169378 1.47014396],[7.70662374 6.43478918 9.22673158],9.59
Msl3,[  0.76392007 146.55247385 396.47854898],[0.76392007 0.61691904 0.95343801],[2.7053692  2.10492129 3.49635069],2.06
Msn,[2.53327917e+00 2.69178794e+02 2.70420587e+03],[2.53327917        nan        nan],[10.04613265  8.65583774 11.7208148 ],25.21
Mtap7d3,[0.15540993 1.67687301 8.89597609],[0.15540993 0.10370436 0.22886468],[5.30509827 3.26828706 8.70952898],0.75
Mtcp1,[ 0.15608106 17.95636274 21.63460707],[5.55111512e-17            nan            nan],[4.78322873        nan        nan],0.19
Naa10,[ 0.95671673 13.91701827 49.14253316],[0.95671673 0.71997557 1.25285201],[3.53111077 2.53445024 5.38115615],3.16
Ndufb11,[3.27758670e+00 5.74924096e+02 3.28185932e+03],[3.2775867  2.80111318 3.8127585 ],[5.70833496 4.87754415 6.7484042 ],18.6
Nkap,[  1.37962611 281.87058435 378.49186712],[1.37962611 1.07199825 1.83678229],[1.34278597 0.99289731 1.77352474],1.84
Nono,[ 0.62868976  1.10479646 18.38671955],[0.62868976 0.50606672 0.78082198],[16.6426308  12.26681468 22.46938054],6.67
Nsdhl,[ 0.65245306  3.61268076 19.43560519],[0.65245306 0.50854715 0.86026079],[5.37982912 3.64187827 7.63345376],2.97
Nxt2,[0.57113655 2.10311832 3.12986498],[0.57113655 0.16721261 1.26978679],[1.48820204        nan        nan],0.67
Ocrl,[0.33866774 0.43296759 4.00122835],[0.33866774 0.15902597 0.60305356],[ 9.24140378  4.1844842  24.36983639],1.76
Ofd1,[0.56443893 3.32318697 3.87038257],[0.56443893 0.11656217 1.19778873],[1.16465989        nan        nan],0.56
Ogt,[  1.18946145 120.490902   177.29584248],[1.24893453 0.94253699 1.63727457],[1.42730251 1.05723522 1.90448308],1.73
Otud5,[0.06297002 0.54820849 5.26684544],[0.06297002 0.02229478 0.12055797],[ 9.60737658  4.4290622  29.42228276],0.54
Pak3,[ 0.33416748  4.2148596  16.34382508],[0.33416748 0.23300478 0.48674322],[3.87766773 2.35393146 6.24999788],1.2
Pdha1,[  2.2167264   18.89751142 120.53662332],[2.10589008 1.6439863  2.73426646],[ 7.33520482  4.64504556 10.4575066 ],12.65
Pdk3,[  1.58593815 254.7045987  523.9648844 ],[1.58593815 1.29855633 1.95695071],[2.05714733 1.63849677 2.56887206],3.24
Pdzd11,[ 1.09547824  1.23867227 15.42360525],[1.09547824 0.84326863 1.43750275],[12.45172403  8.20617792 18.36430123],7.24
Pdzd4,[0.16873275 2.23891921 3.55303733],[5.55111512e-17            nan            nan],[1.58694308        nan        nan],0.25
Pfkfb1,[0.22953764 1.23075231 1.51889535],[0.01147688        nan        nan],[1.23411944        nan        nan],0.24
