Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Naprt1,[ 0.22290746 79.19724362 90.95246012],[0.22290746 0.13902626 0.37302507],[1.14842962 0.64318754 2.06519472],0.26
Napsa,[ 0.10940649 23.74009013 30.72857162],[5.55111512e-17            nan            nan],[1.29437468 0.60454478 2.87721102],0.14
Narfl,[0.06379045 0.15714797 4.39046957],[0.06379045 0.02045647 0.12233014],[27.93844273 13.29186459 93.97065349],1.27
Nasp,[ 2.41361767  7.16846099 68.36823661],[2.41361767 1.89039008 3.17676243],[ 9.53736607  6.03118524 13.86730376],17.22
Nat10,[1.491      2.21819572 3.77210665],[1.491      0.40343009 4.51767509],[1.70052923        nan        nan],1.52
Nav1,[0.50116969 2.17996482 8.1124282 ],[0.50116969 0.34970724 0.75359295],[3.7213574  2.06812979 6.03705445],1.52
Nbas,[0.41445007 6.54040626 8.39246236],[0.43517257 0.1777928  0.65982901],[1.16768599 0.66657383 3.77731195],0.5
Nbn,[0.47563811 1.55319472 2.57915574],[0.02378191        nan        nan],[1.66054887        nan        nan],0.6
Nbr1,[0.95235448 1.74105695 6.428203  ],[0.95235448 0.53201985 1.68705053],[3.69212679 1.50115487 9.05647853],2.27
Ncapd2,[ 1.66691136 17.83667392 54.92770599],[1.58356579 1.15201069 2.20219079],[3.44901919 2.19903911 5.61389034],4.69
Ncapd3,[0.05549347 0.75336822 9.83628877],[3.46944695e-17            nan            nan],[51.83397074         nan         nan],0.67
Ncapg,[ 0.96867656  0.92028816 11.26951241],[0.96867656 0.70378932 1.33933698],[12.24563445  7.39218221 19.99816809],5.78
Ncaph,[ 0.99868432 58.72462181 97.10855584],[0.99868432 0.77084992 1.33652525],[1.6536259  1.2253878  2.22040281],1.62
Ncbp1,[0.52137392 2.04791559 7.86547758],[0.52137392 0.35525308 0.79405948],[3.84072353 2.11348547 6.46758072],1.6
Ncbp2,[ 0.65313184  2.03608932 10.55171251],[0.65313184 0.48032458 0.91494634],[5.18234263 3.13861675 8.00926098],2.56
Ncdn,[0.44196307 1.50473184 5.84781931],[0.44196307 0.2789093  0.70434762],[3.88628668 2.0313752  7.16636056],1.33
Nceh1,[0.16442718 1.3222388  3.61235784],[0.00822136        nan        nan],[2.7320011       nan       nan],0.4
Ncf1,[1.70974600e-02 1.40241300e+01 3.45729947e+01],[0.00085487        nan        nan],[2.53920811        nan        nan],0.04
Nckap1l,[0.2555935  1.28163463 7.21391556],[0.2555935  0.17630405 0.36922404],[5.62868341 3.48220393 8.985108  ],1.2
Ncl,[  3.28058312  10.72805416 320.86076711],[3.11655397 2.44078192 3.88227664],[34.39485639 22.69846119 48.70036085],75.14
Ncln,[0.57590417 1.14744803 5.32901175],[0.57590417 0.336921   0.95710481],[4.64422929 2.22131351 9.86203148],1.78
Ncoa2,[ 0.43604232 28.47206795 33.57808641],[0.43604232 0.21140664 0.69748103],[1.1793343  0.69732387 2.99994636],0.51
Ncoa5,[0.32512067 1.40101123 5.60494324],[0.32512067 0.17551637 0.54348566],[4.00064119 1.9967858  8.8051897 ],1.06
Ncoa6,[ 0.12265696  0.24494941 15.93962848],[0.12265696 0.07225797 0.19460921],[ 65.07314398  37.17700046 120.95702944],5.32
Ncoa7,[0.12003169 1.09012266 2.31142339],[0.00600158        nan        nan],[8.41772324        nan        nan],0.23
Ncor1,[ 1.75333928  3.66408755 25.80895927],[1.75333928 1.32276215 2.40758724],[ 7.04376162  4.12608061 11.01848418],8.35
Ncor2,[ 0.41558792 47.31359284 61.15396556],[0.43636732 0.28474459 0.52657858],[1.25374851 0.79151969 2.03280653],0.53
Ncstn,[0.82382926 5.56956698 7.93660942],[0.82382926 0.45613308 1.44597604],[1.42499578 0.69402436 3.31595115],1.02
Ndc80,[ 0.9144597  31.25056843 47.52634485],[0.96018268 0.59099519 1.29326059],[1.52081537 1.03246416 2.87094683],1.35
Nde1,[ 1.79697778  7.84993757 17.45413373],[1.79697778 1.17407739 2.86646899],[2.22347421 1.14838894 4.41697189],3.25
Ndel1,[0.44067684 1.49666205 3.01809513],[0.44067684 0.12684432 1.01568796],[2.01655085        nan        nan],0.69
Ndfip2,[0.23276225 0.42877603 3.34213486],[0.23276225 0.07066325 0.44327206],[7.79459347        nan        nan],1.18
Ndnl2,[0.06731985 0.02790106 3.26284461],[2.77555756e-17            nan            nan],[116.94339682          nan          nan],2.31
